Código da unidade geográfica,Situação do setor,Logradouro,Número no logradouro,Complemento,Latitude,Longitude,Localidade,Ponto de referência,Espécie de endereço,Tipo de estabelecimento,Indicador de endereço,Identificação domicílio coletivo,Número da quadra,Número da face,CEP
410690205050153,Urbano,RUA JOANNA COSTA,4535,CASA 5,,,CURITIBA,,Domicílio particular,,-0,,1,4,82010040
410690205050153,Urbano,RUA JOANNA COSTA,4583,,,,CURITIBA,,Domicílio particular,,-0,,1,4,82010040
410690205050153,Urbano,RUA JOANNA COSTA,4583,CASA 3,,,CURITIBA,,Domicílio particular,,-0,,1,4,82010040
410690205050153,Urbano,RUA JOANNA COSTA,5,,,,CURITIBA,,Domicílio particular,,-0,,1,4,82010040
410690205050153,Urbano,RUA JOANNA COSTA,7,,,,CURITIBA,,Domicílio particular,,-0,,1,4,82010040
410690205050153,Urbano,RUA JOANNA COSTA,9,SOBRADO,,,CURITIBA,,Domicílio particular,,-0,,1,4,82010040
410690205050153,Urbano,RUA JOANNA COSTA,9,SOBRADO b,,,CURITIBA,,Domicílio particular,,-0,,1,4,82010040
410690205050153,Urbano,RUA JOANNA COSTA,9,SOBRADO c,,,CURITIBA,,Domicílio particular,,-0,,1,4,82010040
410690205050153,Urbano,RUA JOANNA COSTA,12,,,,CURITIBA,,Domicílio particular,,-0,,1,3,82010040
410690205050153,Urbano,RUA JOANNA COSTA,10,,,,CURITIBA,,Domicílio particular,,-0,,1,3,82010040
410690205050153,Urbano,RUA JOANNA COSTA,6,,,,CURITIBA,,Domicílio particular,,-0,,1,3,82010040
410690205050153,Urbano,RUA JOANNA COSTA,SN,CASA 1,,,CURITIBA,,Domicílio particular,,-0,,1,3,82010040
410690205050153,Urbano,RUA JOANNA COSTA,SN,CASA,,,CURITIBA,,Domicílio particular,,-0,,1,3,82010040
410690205050153,Urbano,RUA JOANNA COSTA,140,CASA 1,,,CURITIBA,,Domicílio particular,,-0,,1,3,82010040
410690205050153,Urbano,RUA JOANNA COSTA,140,CASA 2,,,CURITIBA,,Domicílio particular,,-0,,1,3,82010040
410690205050153,Urbano,RUA JOANNA COSTA,140,CASA 3,,,CURITIBA,,Domicílio particular,,-0,,1,3,82010040
410690205050153,Urbano,RUA JOANNA COSTA,140,CASA 4,,,CURITIBA,,Domicílio particular,,-0,,1,3,82010040
410690205050153,Urbano,RUA JOANNA COSTA,140,CASA 5,,,CURITIBA,,Domicílio particular,,-0,,1,3,82010040
410690205050153,Urbano,RUA JOANNA COSTA,140,CASA 6,,,CURITIBA,,Domicílio particular,,-0,,1,3,82010040
410690205050153,Urbano,RUA JOANNA COSTA,10,,,,CURITIBA,,Domicílio particular,,-0,,1,3,82010040
410690205050153,Urbano,RUA ANGELO TREVISAN,260,CONJUNTO CASA 1,,,CURITIBA,,Domicílio particular,,-0,,1,2,82010030
410690205050153,Urbano,RUA ANGELO TREVISAN,260,CONJUNTO CASA 2,,,CURITIBA,,Domicílio particular,,-0,,1,2,82010030
410690205050153,Urbano,RUA ANGELO TREVISAN,260,CONJUNTO CASA 3,,,CURITIBA,,Domicílio particular,,-0,,1,2,82010030
410690205050153,Urbano,RUA ANGELO TREVISAN,260,CONJUNTO CASA 4,,,CURITIBA,,Domicílio particular,,-0,,1,2,82010030
410690205050153,Urbano,RUA ANGELO TREVISAN,260,CONJUNTO CASA 5,,,CURITIBA,,Domicílio particular,,-0,,1,2,82010030
